company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value
S & C NEPAL LIMITED,7848942,dissolved,ltd,17-01-2017,16-11-2011,['56101'],,22 High Street,Woking,GU21 2PE,Knaphill,Surrey,England,56101,,,,TRUE
RAJMAHAL (FROMES HILL) LTD,7849705,dissolved,ltd,17-03-2015,16-11-2011,['56101'],,Fromes Hill Fromes,Ledbury,HR8 1HT,Ledbury,Herefordshire,,56101,,,,TRUE
FAHRENHEIT UK LTD,7852634,dissolved,ltd,16-04-2020,18-11-2011,['56101'],,116 High Street,Staines-Upon-Thames,TW18 4BY,,Middlesex,,56101,,,,TRUE
RJD CATERING LIMITED,7854059,dissolved,ltd,18-02-2020,21-11-2011,['56101'],,18 Hill Top Road,Northwich,CW8 3RA,Acton Bridge,Cheshire,,56101,,,,TRUE
FLING FLONG LTD,7852101,dissolved,ltd,27-07-2017,18-11-2011,['56101'],,3 Field Court,London,WC1R 5EF,,,,56101,,,,TRUE
FAT BELLY (BIRMINGHAM) LTD,7852776,dissolved,ltd,06-10-2015,18-11-2011,['56101'],,15 Highfield Road,Birmingham,B28 0EL,Hall Green,West Midlands,,56101,,,,TRUE
SONALI GHAR LTD,7852406,dissolved,ltd,03-05-2016,18-11-2011,['56101'],,339 Two Mile Hill Road,Bristol,BS15 1AN,Kingswood,,,56101,,,,TRUE
THE LAUNDRY (LIVERPOOL) LIMITED,7852761,dissolved,ltd,05-07-2016,18-11-2011,['56101'],,99-101 Lark Lane,Liverpool,L17 8UP,,,England,56101,,,,TRUE
FORINS LIMITED,7853512,dissolved,ltd,08-12-2015,18-11-2011,['56101'],,Oakwell House 12a Oakwell Avenue,Batley,WF17 8QA,Carlinghow,West Yorkshire,,56101,,,,TRUE
RICKFORD LIMITED,7852440,dissolved,ltd,30-09-2014,18-11-2011,['56101'],,Quantum House,Chertsey,KT16 9AX,Guildford Street,Surrey,England,56101,,,,TRUE
MULDECK LTD,7853188,dissolved,ltd,22-09-2020,18-11-2011,['56101'],,59 Brackley Crescent,Basildon,SS13 1RA,,,England,56101,,,,TRUE
CELTIC CARVERIES & ALEHOUSE LIMITED,7856504,dissolved,ltd,13-09-2018,22-11-2011,['56101'],,10 St Helens Road,Swansea,SA1 4AW,,,,56101,,,,TRUE
THE ORIGINAL ALPHABET SOUP LIMITED,7804332,dissolved,ltd,26-03-2019,10-10-2011,['56102'],,13 Bowes Street,Blyth,NE24 1BD,,Northumberland,,56102,,,,TRUE
SEYMOUR CAFE LTD,7804464,dissolved,ltd,31-03-2020,10-10-2011,['56102'],,Highfield House 149b Ermin Street,Gloucester,GL3 4HG,Brockworth,Gloucestershire,,56102,,,,TRUE
COOKVILLE RESTAURANT LTD,7803397,dissolved,ltd,18-12-2018,10-10-2011,['56102'],,563 City Road,Sheffield,S2 1GL,,,,56102,,,,TRUE
CANDAN LTD,7804802,dissolved,ltd,17-03-2020,11-10-2011,['56102'],,10 The Broadway,St. Ives,PE27 5BX,,Cambridgeshire,,56102,,,,TRUE
LAHORI MASALA & GRILL LTD.,7806159,dissolved,ltd,20-12-2016,11-10-2011,['56102'],,906 Uxbridge Road,Hayes,UB4 0RW,,,,56102,,,,TRUE
WWW.LUNCHINABAG.CO.UK LIMITED,7810115,dissolved,ltd,20-12-2016,14-10-2011,['56102'],,3 Silchester Corner,Southend-On-Sea,SS3 0PX,Great Wakering,Essex,England,56102,,,,TRUE
MLC ENTERPRISES LTD,7812114,dissolved,ltd,16-03-2021,17-10-2011,['56102'],,247 Hazel Road,Erith,DA8 2NB,,Kent,,56102,,,,TRUE
GULCEM LTD,7812724,dissolved,ltd,01-03-2016,17-10-2011,['56102'],,147 Cranbrook Road,Ilford,IG1 4PU,,Essex,United Kingdom,56102,,,,TRUE
K STAND LTD.,7815039,dissolved,ltd,12-11-2019,19-10-2011,['56102'],,Colman House,Birmingham,B3 1RS,121 Livery Street,,,56102,,,,TRUE
KELTIX LIMITED,7817603,dissolved,ltd,20-12-2016,20-10-2011,['56102'],,101 Kingsway Holborn,London,WC2B 6QX,,,,56102,,,,TRUE
FLEXLOG LIMITED,7817387,dissolved,ltd,26-04-2018,20-10-2011,['56102'],,212 Mile End Road,London,E1 4LJ,,,,56102,,,,TRUE
TASTE CATERING LIMITED,7820925,dissolved,ltd,21-10-2014,24-10-2011,['56102'],,353 Southwark Park Road,London,SE16 2JN,,,United Kingdom,56102,,,,TRUE
SY CATERING LTD,7824598,dissolved,ltd,06-09-2016,26-10-2011,['56102'],,41 Palmerston Road,Walthamstow,E17 6PR,,London,,56102,,,,TRUE
EMILE'S  PENARTH LIMITED,7825387,dissolved,ltd,14-10-2014,27-10-2011,['56102'],,The Old Coach House,Penarth,CF64 2UW,3a Cornerswell Road,Vale Of Glamorgan,Wales,56102,,,,TRUE
FARMHOUSE WHITBEY PARADE LIMITED,7828206,dissolved,ltd,31-03-2015,31-10-2011,['56102'],,5 Whitbey Parade,South Ruislip,HA4 9EA,Whitbey Road,Middlesex,,56102,,,,TRUE
NOAH'S ARK CAFE LIMITED,7830262,dissolved,ltd,29-03-2016,01-11-2011,['56102'],,10 Chapel Road,Ilford,IG1 2AG,,Essex,,56102,,,,TRUE
BIG RICH'S COMMUNITY CAFE LIMITED,7830812,dissolved,ltd,24-02-2015,01-11-2011,['56102'],,Court Farm Main Street,Bristol,BS40 6JF,Compton Martin,,,56102,,,,TRUE
D HOUSE LIMITED,7837464,dissolved,ltd,17-03-2015,07-11-2011,['56102'],,Winston Churchill House,Birmingham,B2 4BG,Ethel Street,West Midlands,,56102,,,,TRUE
CANOPY ESSEX LIMITED,7841740,dissolved,ltd,14-01-2020,10-11-2011,['56102'],,141 Beehive Lane,Ilford,IG4 5DR,,,England,56102,,,,TRUE
CAFE ROSSIO LIMITED,7848858,active,ltd,,16-11-2011,['56102'],,1100 Harrow Road,London,NW10 5NL,,,,56102,,,,TRUE
PARATHA WRAPS LIMITED,7849454,dissolved,ltd,27-06-2017,16-11-2011,['56102'],,3b Fairfax Street,Coventry,CV1 5SR,,,,56102,,,,TRUE
JUST @ LIMITED,7851428,dissolved,ltd,08-12-2015,17-11-2011,['56102'],,5 St John'S Ways,London,N19 3QS,,,,56102,,,,TRUE
THE PARADE CAFE LTD,7850357,dissolved,ltd,23-07-2019,16-11-2011,['56102'],,Sea Acres,Skegness,PE25 3BB,Gibraltar Road,Lincolnshire,,56102,,,,TRUE
C & G BARS LIMITED,7803532,dissolved,ltd,08-03-2016,10-10-2011,['56302'],,451 Saffron Lane,Leicester,LE2 6UG,,Leicestershire,,56302,,,,TRUE
A RICKERBY LIMITED,7805710,dissolved,ltd,28-03-2017,11-10-2011,['56302'],,The Ship Inn,Carlisle,CA5 6PE,Thursby,Cumbria,,56302,,,,TRUE
OSCAR VEGAS LIMITED,7804975,liquidation,ltd,,11-10-2011,['56302'],,"Suite 4, Portfolio House, 3",Dorchester,DT1 1TP,Princes Street,Dorset,,56302,,,,TRUE
FIZZY PUBS LTD,7807051,dissolved,ltd,15-12-2015,12-10-2011,['56302'],,32 Elgin Street,Swansea,SA5 8QF,Manselton,,Wales,56302,,,,TRUE
STAG'S HEAD (KNAITH PARK) LIMITED,7808901,dissolved,ltd,27-10-2015,13-10-2011,['56302'],,107 Cleethorpe Road,Grimsby,DN31 3ER,,N E Lincs,,56302,,,,TRUE
PIPINNS HERITAGE PUB LTD,7810204,dissolved,ltd,03-01-2017,14-10-2011,['56302'],,The Rock Inn Hoath Corner,Edenbridge,TN8 7BS,Chiddinstone Hoath,Kent,,56302,,,,TRUE
